mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
32	32	0	0	2/2	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
32	32	1/2	1/2	2/2	2	1	ii7/IV				ii7/IV	ii		7		IV				mm7	1, -2, 2, -1		1	1
32	32	15/16	15/16	2/2	2	1	viio6/IV				viio6/IV	vii	o	6		IV				o	1, -2, 4		4	1
33	33	0	0	2/2	2	1	vii%43/IV				vii%43/IV	vii	%	43		IV				%7	-2, 2, 4, 1		4	-2
33	33	1/4	1/4	2/2	2	1	IV6				IV6	IV		6						M	3, 0, -1		-1	3
33	33	1/2	1/2	2/2	2	1	V7(4)/V/IV				V7(4)/V/IV	V		7	4	V/IV				Mm7	1, 0, 2, -1		1	1
33	33	3/4	3/4	2/2	2	1	V7/IV				V7/IV	V		7		IV				Mm7	0, 4, 1, -2		0	0
34	34	0	0	2/2	2	1	IV\\				IV	IV							\\	M	-1, 3, 0		-1	-1
34	34	1/4	1/4	2/2	2	1	IV6				IV6	IV		6						M	3, 0, -1		-1	3
34	34	1/2	1/2	2/2	2	1	IV6				IV6	IV		6						M	3, 0, -1		-1	3
34	34	3/4	3/4	2/2	2	1	IV2				IV2	IV		2						Mm7	-3, -1, 3, 0		-1	-3
34	34	5/6	5/6	2/2	2	1	ii				ii	ii								m	2, -1, 3		2	2
34	34	11/12	11/12	2/2	2	1	ii2				ii2	ii		2						mm7	0, 2, -1, 3		2	0
35	35	0	0	2/2	2	1	#vii%7				#vii%7	#vii	%	7						%7	5, 2, -1, 3		5	5
36	36	1/4	1/4	2/2	2	1	#viio7				#viio7	#vii	o	7						o7	5, 2, -1, -4		5	5
37	37	0	0	2/2	2	1	#viio7				#viio7	#vii	o	7						o7	5, 2, -1, -4		5	5
37	37	3/4	3/4	2/2	2	1	#viio				#viio	#vii	o							o	5, 2, -1		5	5
38	38	0	0	2/2	2	1	I				I	I								M	0, 4, 1		0	0
38	38	1/4	1/4	2/2	2	1	I6				I6	I		6						M	4, 1, 0		0	4
38	38	3/8	3/8	2/2	2	1	V+6/IV				V+6/IV	V	+	6		IV				+	4, 8, 0		0	4
38	38	1/2	1/2	2/2	2	1	IV(#2)				IV(#2)	IV			#2					M	-1, 8, 0		-1	-1
38	38	5/8	5/8	2/2	2	1	IV				IV	IV								M	-1, 3, 0		-1	-1
38	38	3/4	3/4	2/2	2	1	V6/V				V6/V	V		6		V				M	6, 3, 2		2	6
38	38	7/8	7/8	2/2	2	1	V65/V				V65/V	V		65		V				Mm7	6, 3, 0, 2		2	6
39	39	0	0	2/2	2	1	V(4)				V(4)	V			4					M	1, 0, 2		1	1
39	39	1/2	1/2	2/2	2	1	V\\				V	V							\\	M	1, 5, 2		1	1
39	39	3/4	3/4	2/2	2	1	I6				I6	I		6						M	4, 1, 0		0	4
39	39	11/12	11/12	2/2	2	1	V+6/IV				V+6/IV	V	+	6		IV				+	4, 8, 0		0	4
40	40	0	0	2/2	2	1	IV(#9)				IV(#9)	IV			#9					M	-1, 3, 0	8	-1	-1
40	40	1/8	1/8	2/2	2	1	IV				IV	IV								M	-1, 3, 0		-1	-1
40	40	1/4	1/4	2/2	2	1	viio/V				viio/V	vii	o			V				o	6, 3, 0		6	6
40	40	1/3	1/3	2/2	2	1	vii/V				vii/V	vii				V				m	6, 3, 7		6	6
40	40	5/12	5/12	2/2	2	1	V6/V				V6/V	V		6		V				M	6, 3, 2		2	6
40	40	1/2	1/2	2/2	2	1	V(2)				V(2)	V			2					M	-4, 5, 2		1	-4
40	40	7/12	7/12	2/2	2	1	V(#2)				V(#2)	V			#2					M	1, 3, 2		1	1
40	40	2/3	2/3	2/2	2	1	V				V	V								M	1, 5, 2		1	1
40	40	3/4	3/4	2/2	2	1	#viio/vi				#viio/vi	#vii	o			vi				o	1, -2, -5		1	1
40	40	5/6	5/6	2/2	2	1	#vii/vi				#vii/vi	#vii				vi				m	1, -2, 2		1	1
40	40	11/12	11/12	2/2	2	1	V6/vi				V6/vi	V		6		vi				M	1, -2, -3		-3	1
41	41	0	0	2/2	2	1	vi(2)				vi(2)	vi			2					m	-2, -7, -3		-4	-2
41	41	1/12	1/12	2/2	2	1	vi				vi	vi								m	-4, -7, -3		-4	-4
41	41	1/6	1/6	2/2	2	1	V/ii				V/ii	V				ii				M	3, 7, 4		3	3
41	41	5/12	5/12	2/2	2	1	IV+6				IV+6	IV	+	6						+	3, 7, -1		-1	3
41	41	1/2	1/2	2/2	2	1	viio(#2)				viio(#2)	vii	o		#2					o	-2, 7, -8		-2	-2
41	41	7/12	7/12	2/2	2	1	V6(#7#4)				V6(#7#4)	V		6	#7#4					M	5, 7, 6		1	5
41	41	2/3	2/3	2/2	2	1	V6(#4)				V6(#4)	V		6	#4					M	5, 7, 1		1	5
41	41	5/6	5/6	2/2	2	1	V6				V6	V		6						M	5, 2, 1		1	5
41	41	11/12	11/12	2/2	2	1	V+6				V+6	V	+	6						+	5, 9, 1		1	5
42	42	0	0	2/2	2	1	I				I	I								M	0, 4, 1		0	0
42	42	1/4	1/4	2/2	2	1	IV\\				IV	IV							\\	M	-1, 3, 0		-1	-1
42	42	3/4	3/4	2/2	2	1	V				V	V								M	1, 5, 2		1	1
43	43	0	0	2/2	2	1	I[I(4)			I	I(4)	I			4					M	0, -1, 1		0	0
43	43	1/12	1/12	2/2	2	1	I				I	I								M	0, 4, 1		0	0
43	43	1/6	1/6	2/2	2	1	V7/IV				V7/IV	V		7		IV				Mm7	0, 4, 1, -2		0	0
43	43	1/4	1/4	2/2	2	1	IV				IV	IV								M	-1, 3, 0		-1	-1
43	43	1/3	1/3	2/2	2	1	ii				ii	ii								m	2, -1, 3		2	2
43	43	5/12	5/12	2/2	2	1	V				V	V								M	1, 5, 2		1	1
43	43	1/2	1/2	2/2	2	1	I]\\				I	I					]		\\	M	0, 4, 1		0	0
44	44	0	5/8	2/2	2	1	V				V	V								M	1, 5, 2		1	1
45	45	0	0	2/2	2	1	V				V	V								M	1, 5, 2		1	1
45	45	1/4	1/4	2/2	2	1	V2				V2	V		2						Mm7	-1, 1, 5, 2		1	-1
45	45	1/2	1/2	2/2	2	1	I(4)				I(4)	I			4					M	0, -1, 1		0	0
45	45	7/12	7/12	2/2	2	1	I6\\				I6	I		6					\\	M	4, 1, 0		0	4
45	45	3/4	3/4	2/2	2	1	V				V	V								M	1, 5, 2		1	1
46	46	0	0	2/2	2	1	V				V	V								M	1, 5, 2		1	1
46	46	1/4	1/4	2/2	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
46	46	5/12	5/12	2/2	2	1	V65				V65	V		65						Mm7	5, 2, -1, 1		1	5
46	46	1/2	1/2	2/2	2	1	I(4)				I(4)	I			4					M	0, -1, 1		0	0
46	46	7/12	7/12	2/2	2	1	I\\				I	I							\\	M	0, 4, 1		0	0
46	46	3/4	3/4	2/2	2	1	V7/IV				V7/IV	V		7		IV				Mm7	0, 4, 1, -2		0	0
47	47	0	0	2/2	2	1	IV				IV	IV								M	-1, 3, 0		-1	-1
48	48	0	0	2/2	2	1	I(64)				I(64)	I			64					M	0, -1, -4		0	0
48	48	1/4	1/4	2/2	2	1	I\\				I	I							\\	M	0, 4, 1		0	0
49	49	0	0	2/2	2	1	V43/IV				V43/IV	V		43		IV				Mm7	1, -2, 0, 4		0	1
49	49	1/2	1/2	2/2	2	1	IV(4)				IV(4)	IV			4					M	-1, -2, 0		-1	-1
49	49	7/12	7/12	2/2	2	1	IV				IV	IV								M	-1, 3, 0		-1	-1
49	49	3/4	3/4	2/2	2	1	IV6				IV6	IV		6						M	3, 0, -1		-1	3
50	50	0	0	2/2	2	1	V43/IV				V43/IV	V		43		IV				Mm7	1, -2, 0, 4		0	1
50	50	1/2	1/2	2/2	2	1	IV(4)				IV(4)	IV			4					M	-1, -2, 0		-1	-1
50	50	7/12	7/12	2/2	2	1	IV				IV	IV								M	-1, 3, 0		-1	-1
50	50	3/4	3/4	2/2	2	1	V6/IV/IV				V6/IV/IV	V		6		IV/IV				M	3, 0, -1		-1	3
51	51	0	0	2/2	2	1	IV/IV				IV/IV	IV				IV				M	-2, 2, -1		-2	-2
52	52	0	0	2/2	2	1	IV6/IV				IV6/IV	IV		6		IV				M	2, -1, -2		-2	2
52	52	3/16	3/16	2/2	2	1	#viio6				#viio6	#vii	o	6						o	2, -1, 5		5	2
52	52	1/4	1/4	2/2	2	1	I				I	I								M	0, 4, 1		0	0
52	52	3/4	3/4	2/2	2	1	IV				IV	IV								M	-1, 3, 0		-1	-1
52	52	15/16	15/16	2/2	2	1	#viio65/v				#viio65/v	#vii	o	65		v				o7	3, 0, -3, 6		6	3
53	53	0	0	2/2	2	1	v6(7#6)				v6(7#6)	v		6	7#6					m	-2, 2, -1	4	1	-2
53	53	1/4	1/4	2/2	2	1	v6(4)				v6(4)	v		6	4					m	0, 2, 1		1	0
53	53	1/3	1/3	2/2	2	1	v6				v6	v		6						m	-2, 2, 1		1	-2
53	53	3/4	3/4	2/2	2	1	iiio65				iiio65	iii	o	65						o7	-6, -9, -12, -3		-3	-6
54	54	0	0	2/2	2	1	vi(4)				vi(4)	vi			4					m	-4, 2, -3		-4	-4
54	54	1/4	1/4	2/2	2	1	vio(4)				vio(4)	vi	o		4					o	-4, 2, -10		-4	-4
54	54	1/3	1/3	2/2	2	1	vio				vio	vi	o							o	-4, -7, -10		-4	-4
54	54	3/4	3/4	2/2	2	1	V65/V				V65/V	V		65		V				Mm7	6, 3, 0, 2		2	6
55	55	0	0	2/2	2	1	V65/V				V65/V	V		65		V				Mm7	6, 3, 0, 2		2	6
55	55	1/2	1/2	2/2	2	1	V				V	V								M	1, 5, 2		1	1
56	56	0	0	2/2	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
56	56	1/4	1/4	2/2	2	1	V				V	V								M	1, 5, 2		1	1
56	56	3/4	3/4	2/2	2	1	#viio				#viio	#vii	o							o	5, 2, -1		5	5
57	57	0	0	2/2	2	1	#viio				#viio	#vii	o							o	5, 2, -1		5	5
57	57	1/2	1/2	2/2	2	1	I				I	I								M	0, 4, 1		0	0
58	58	0	0	2/2	2	1	I.V7		I		V7	V		7						Mm7	1, 5, 2, -1		1	1
58	58	1/4	1/4	2/2	2	1	V				V	V								M	1, 5, 2		1	1
58	58	3/4	3/4	2/2	2	1	viio				viio	vii	o							o	-2, -5, -8		-2	-2
59	59	0	0	2/2	2	1	I				I	I								M	0, 4, 1		0	0
59	59	3/4	3/4	2/2	2	1	V2/IV				V2/IV	V		2		IV				Mm7	-2, 0, 4, 1		0	-2
60	60	0	0	2/2	2	1	ii.iio43		ii		iio43	ii	o	43						o7	-4, -7, 2, -1		2	-4
60	60	1/4	1/4	2/2	2	1	V(74)				V(74)	V			74					M	1, 0, 2	-1	1	1
60	60	1/2	1/2	2/2	2	1	V\\				V	V							\\	M	1, 5, 2		1	1
60	60	3/4	3/4	2/2	2	1	V				V	V								M	1, 5, 2		1	1
61	61	0	0	2/2	2	1	i				i	i								m	0, -3, 1		0	0
61	61	1/4	1/4	2/2	2	1	i				i	i								m	0, -3, 1		0	0
61	61	1/2	1/2	2/2	2	1	i				i	i								m	0, -3, 1		0	0
61	61	3/4	3/4	2/2	2	1	i6				i6	i		6						m	-3, 1, 0		0	-3
62	62	0	0	2/2	2	1	i				i	i								m	0, -3, 1		0	0
62	62	1/2	1/2	2/2	2	1	iio2				iio2	ii	o	2						o7	-7, 2, -1, -4		2	-7
62	62	3/4	3/4	2/2	2	1	#viio7/V				#viio7/V	#vii	o	7		V				o7	6, 3, 0, -3		6	6
63	63	0	0	2/2	2	1	#viio\\				#viio	#vii	o						\\	o	5, 2, -1		5	5
63	63	1/4	1/4	2/2	2	1	i				i	i								m	0, -3, 1		0	0
63	63	1/2	1/2	2/2	2	1	iv7				iv7	iv		7						mm7	-1, -4, 0, -3		-1	-1
63	63	3/4	3/4	2/2	2	1	V2				V2	V		2						Mm7	-1, 1, 5, 2		1	-1
64	64	0	0	2/2	2	1	V2				V2	V		2						Mm7	-1, 1, 5, 2		1	-1
64	64	1/4	1/4	2/2	2	1	i6				i6	i		6						m	-3, 1, 0		0	-3
64	64	1/2	1/2	2/2	2	1	i\\				i	i							\\	m	0, -3, 1		0	0
65	65	0	0	2/2	2	1	i				i	i								m	0, -3, 1		0	0
65	65	1/4	1/4	2/2	2	1	i				i	i								m	0, -3, 1		0	0
65	65	1/3	1/3	2/2	2	1	i2				i2	i		2						mm7	-2, 0, -3, 1		0	-2
65	65	5/12	5/12	2/2	2	1	VI				VI	VI								M	-4, 0, -3		-4	-4
65	65	1/2	1/2	2/2	2	1	VI2				VI2	VI		2						Mm7	-6, -4, 0, -3		-4	-6
65	65	3/4	3/4	2/2	2	1	V2				V2	V		2						Mm7	-1, 1, 5, 2		1	-1
66	66	0	0	2/2	2	1	i6				i6	i		6						m	-3, 1, 0		0	-3
66	66	1/4	1/4	2/2	2	1	V				V	V								M	1, 5, 2		1	1
66	66	7/16	7/16	2/2	2	1	V65				V65	V		65						Mm7	5, 2, -1, 1		1	5
66	66	1/2	1/2	2/2	2	1	i				i	i								m	0, -3, 1		0	0
66	66	3/4	3/4	2/2	2	1	V				V	V								M	1, 5, 2		1	1
66	66	15/16	15/16	2/2	2	1	V65				V65	V		65						Mm7	5, 2, -1, 1		1	5
67	67	0	0	2/2	2	1	i				i	i								m	0, -3, 1		0	0
67	67	1/4	1/4	2/2	2	1	i6				i6	i		6						m	-3, 1, 0		0	-3
67	67	1/3	1/3	2/2	2	1	V2/V				V2/V	V		2		V				Mm7	0, 2, 6, 3		2	0
67	67	5/12	5/12	2/2	2	1	V.V2/V		V		V2/V	V		2		V				Mm7	0, 2, 6, 3		2	0
67	67	1/2	1/2	2/2	2	1	V6				V6	V		6						M	5, 2, 1		1	5
67	67	3/4	3/4	2/2	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
67	67	11/12	11/12	2/2	2	1	V65				V65	V		65						Mm7	5, 2, -1, 1		1	5
68	68	0	0	2/2	2	1	I				I	I								M	0, 4, 1		0	0
68	68	1/4	1/4	2/2	2	1	I.V7		I		V7	V		7						Mm7	1, 5, 2, -1		1	1
68	68	5/12	5/12	2/2	2	1	V65				V65	V		65						Mm7	5, 2, -1, 1		1	5
68	68	1/2	1/2	2/2	2	1	I(9)				I(9)	I			9					M	0, 4, 1	2	0	0
68	68	3/4	3/4	2/2	2	1	IV.V7		IV		V7	V		7						Mm7	1, 5, 2, -1		1	1
68	68	11/12	11/12	2/2	2	1	V65				V65	V		65						Mm7	5, 2, -1, 1		1	5
69	69	0	0	2/2	2	1	I				I	I								M	0, 4, 1		0	0
69	69	1/4	1/4	2/2	2	1	vi.vi7		vi		vi7	vi		7						mm7	-4, -7, -3, -6		-4	-4
69	69	5/12	5/12	2/2	2	1	vi65				vi65	vi		65						mm7	-7, -3, -6, -4		-4	-7
69	69	1/2	1/2	2/2	2	1	iio				iio	ii	o							o	2, -1, -4		2	2
69	69	3/4	3/4	2/2	2	1	iio7				iio7	ii	o	7						o7	2, -1, -4, -7		2	2
70	70	0	0	2/2	2	1	V(9)				V(9)	V			9					M	1, 5, 2	-4	1	1
70	70	1/4	1/4	2/2	2	1	V2				V2	V		2						Mm7	-1, 1, 5, 2		1	-1
70	70	1/2	1/2	2/2	2	1	i6				i6	i		6						m	-3, 1, 0		0	-3
70	70	3/4	3/4	2/2	2	1	V6				V6	V		6						M	5, 2, 1		1	5
70	70	11/12	11/12	2/2	2	1	V65				V65	V		65						Mm7	5, 2, -1, 1		1	5
71	71	0	0	2/2	2	1	i				i	i								m	0, -3, 1		0	0
71	71	5/12	5/12	2/2	2	1	i2				i2	i		2						mm7	-2, 0, -3, 1		0	-2
71	71	1/2	1/2	2/2	2	1	VI				VI	VI								M	-4, 0, -3		-4	-4
71	71	2/3	2/3	2/2	2	1	#viio2				#viio2	#vii	o	2						o7	-4, 5, 2, -1		5	-4
71	71	3/4	3/4	2/2	2	1	i\\				i	i							\\	m	0, -3, 1		0	0
72	72	0	0	2/2	2	1	i				i	i								m	0, -3, 1		0	0
72	72	5/12	5/12	2/2	2	1	i2				i2	i		2						mm7	-2, 0, -3, 1		0	-2
72	72	1/2	1/2	2/2	2	1	vio				vio	vi	o							o	-4, -7, -10		-4	-4
72	72	2/3	2/3	2/2	2	1	#vii%2				#vii%2	#vii	%	2						%7	3, 5, 2, -1		5	3
72	72	3/4	3/4	2/2	2	1	i				i	i								m	0, -3, 1		0	0
72	72	5/6	5/6	2/2	2	1	#viio7/V				#viio7/V	#vii	o	7		V				o7	6, 3, 0, -3		6	6
73	73	0	0	2/2	2	1	V(4)				V(4)	V			4					M	1, 0, 2		1	1
73	73	1/4	1/4	2/2	2	1	i				i	i								m	0, -3, 1		0	0
73	73	1/2	1/2	2/2	2	1	#viio7/V				#viio7/V	#vii	o	7		V				o7	6, 3, 0, -3		6	6
74	74	0	0	2/2	2	1	#viio7/V				#viio7/V	#vii	o	7		V				o7	6, 3, 0, -3		6	6
74	74	1/2	1/2	2/2	2	1	V(4)				V(4)	V			4					M	1, 0, 2		1	1
74	74	11/16	11/16	2/2	2	1	V				V	V								M	1, 5, 2		1	1
74	74	3/4	3/4	2/2	2	1	V2/iv				V2/iv	V		2		iv				Mm7	-2, 0, 4, 1		0	-2
75	75	0	0	2/2	2	1	iio2/iv				iio2/iv	ii	o	2		iv				o7	-8, 1, -2, -5		1	-8
75	75	1/2	1/2	2/2	2	1	V65/iv				V65/iv	V		65		iv				Mm7	4, 1, -2, 0		0	4
75	75	3/4	3/4	2/2	2	1	#viio7/iv				#viio7/iv	#vii	o	7		iv				o7	4, 1, -2, -5		4	4
76	76	0	0	2/2	2	1	iv				iv	iv								m	-1, -4, 0		-1	-1
