mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
25	25	197/2	197/2	1.5	5/8	5/8	4/4	2	1	V|HC	C	I		V		V					HC		M	0	0	1, 5, 2		1	1
26	26	100	100	3.0	0	0	4/4	2	1	V{	C	I		V		V						{	M	0	0	1, 5, 2		1	1
26	26	103	103	1.0	3/4	3/4	4/4	2	1	iio64/vi	C	I		iio64/vi		ii	o	64		vi			o	0	0	-1, 5, 2		5	-1
27	27	104	104	1.5	0	0	4/4	2	1	V7(9)/vi	C	I		V7(9)/vi		V		7	9	vi			Mm7	0	0	4, 8, 5, 2	-1	4	4
27	27	211/2	211/2	0.5	3/8	3/8	4/4	2	1	V/ii	C	I		V/ii		V				ii			M	0	0	3, 7, 4		3	3
27	27	106	106	2.0	1/2	1/2	4/4	2	1	i/ii}	C	I		i/ii		i				ii		}	m	0	0	2, -1, 3		2	2
28	28	108	108	3.0	0	0	4/4	2	1	IV{	C	I		IV		IV						{	M	0	0	-1, 3, 0		-1	-1
28	28	111	111	1.0	3/4	3/4	4/4	2	1	iio64/V	C	I		iio64/V		ii	o	64		V			o	0	0	-3, 3, 0		3	-3
29	29	112	112	1.5	0	0	4/4	2	1	V7(b9)/V	C	I		V7(b9)/V		V		7	b9	V			Mm7	0	0	2, 6, 3, 0	-3	2	2
29	29	227/2	227/2	0.5	3/8	3/8	4/4	2	1	V/V	C	I		V/V		V				V			M	0	0	2, 6, 3		2	2
29	29	114	114	2.0	1/2	1/2	4/4	2	1	I/V}{	C	I		I/V		I				V		}{	M	0	0	1, 5, 2		1	1
30	30	116	116	2.0	0	0	4/4	2	1	V2	C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
30	30	118	118	2.0	1/2	1/2	4/4	2	1	vi.#viio2	C	vi		#viio2		#vii	o	2					o7	0	1	-4, 5, 2, -1		5	-4
31	31	120	120	4.0	0	0	4/4	2	1	V7	C	vi		V7		V		7					Mm7	0	1	1, 5, 2, -1		1	1
32	32	124	124	4.0	0	0	4/4	2	1	i|IAC}{	C	vi		i		i					IAC	}{	m	0	1	0, -3, 1		0	0
33	33	128	128	2.0	0	0	4/4	2	1	iv64	C	vi		iv64		iv		64					m	0	1	0, -1, -4		-1	0
33	33	130	130	0.5	1/2	1/2	4/4	2	1	i(64)	C	vi		i(64)		i			64				m	0	1	0, -1, -4		0	0
33	33	261/2	261/2	1.5	5/8	5/8	4/4	2	1	i	C	vi		i		i							m	0	1	0, -3, 1		0	0
34	34	132	132	2.0	0	0	4/4	2	1	V7(9)	C	vi		V7(9)		V		7	9				Mm7	0	1	1, 5, 2, -1	-4	1	1
34	34	134	134	0.5	1/2	1/2	4/4	2	1	i(94)}	C	vi		i(94)		i			94			}	m	0	1	0, -1, 1	2	0	0
34	34	269/2	269/2	1.0	5/8	5/8	4/4	2	1	i|IAC	C	vi		i		i					IAC		m	0	1	0, -3, 1		0	0
34	34	271/2	271/2	0.5	7/8	7/8	4/4	2	1	V7	C	vi		V7		V		7					Mm7	0	1	1, 5, 2, -1		1	1
35	35	136	136	0.5	0	0	4/4	2	1	i(94){	C	vi		i(94)		i			94			{	m	0	1	0, -1, 1	2	0	0
35	35	273/2	273/2	3.5	1/8	1/8	4/4	2	1	i	C	vi		i		i							m	0	1	0, -3, 1		0	0
36	36	140	140	2.0	0	0	4/4	2	1	iv64	C	vi		iv64		iv		64					m	0	1	0, -1, -4		-1	0
36	36	142	142	0.5	1/2	1/2	4/4	2	1	i(64)	C	vi		i(64)		i			64				m	0	1	0, -1, -4		0	0
36	36	285/2	285/2	1.5	5/8	5/8	4/4	2	1	i	C	vi		i		i							m	0	1	0, -3, 1		0	0
37	37	144	144	2.0	0	0	4/4	2	1	V7	C	vi		V7		V		7					Mm7	0	1	1, 5, 2, -1		1	1
37	37	146	146	1.0	1/2	1/2	4/4	2	1	i(94)}	C	vi		i(94)		i			94			}	m	0	1	0, -1, 1	2	0	0
37	37	147	147	1.0	3/4	3/4	4/4	2	1	i|IAC	C	vi		i		i					IAC		m	0	1	0, -3, 1		0	0
37	37	295/2	295/2	0.0	7/8	7/8	4/4	2	1	{	C	vi										{		0	1				
38	38	148	148	1.0	0	0	4/4	2	1	I.V7/vi	C	I		V7/vi		V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
38	38	149	149	1.0	1/4	1/4	4/4	2	1	vi	C	I		vi		vi							m	0	0	3, 0, 4		3	3
38	38	150	150	1.5	1/2	1/2	4/4	2	1	vii%7/V	C	I		vii%7/V		vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
38	38	303/2	303/2	0.5	7/8	7/8	4/4	2	1	viio/V	C	I		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6
39	39	152	152	1.0	0	0	4/4	2	1	I(94)/V}	C	I		I(94)/V		I			94	V		}	M	0	0	1, 0, 2	3	1	1
39	39	153	153	1.0	1/4	1/4	4/4	2	1	I/V	C	I		I/V		I				V			M	0	0	1, 5, 2		1	1
39	39	307/2	307/2	0.0	3/8	3/8	4/4	2	1	{	C	I										{		0	0				
39	39	154	154	1.0	1/2	1/2	4/4	2	1	V7/V	C	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
39	39	155	155	1.0	3/4	3/4	4/4	2	1	V	C	I		V		V							M	0	0	1, 5, 2		1	1
40	40	156	156	3.0	0	0	4/4	2	1	I6}{	C	I		I6		I		6				}{	M	0	0	4, 1, 0		0	4
40	40	159	159	2.0	3/4	3/4	4/4	2	1	IVM2	C	I		IVM2		IV	M	2					MM7	0	0	4, -1, 3, 0		-1	4
41	41	161	161	2.0	1/4	1/4	4/4	2	1	viio6	C	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
41	41	163	163	2.0	3/4	3/4	4/4	2	1	iii2	C	I		iii2		iii		2					mm7	0	0	2, 4, 1, 5		4	2
42	42	165	165	2.0	1/4	1/4	4/4	2	1	vi6	C	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
42	42	167	167	2.0	3/4	3/4	4/4	2	1	ii2	C	I		ii2		ii		2					mm7	0	0	0, 2, -1, 3		2	0
43	43	169	169	2.0	1/4	1/4	4/4	2	1	V6	C	I		V6		V		6					M	0	0	5, 2, 1		1	5
43	43	171	171	3.0	3/4	3/4	4/4	2	1	I}{	C	I		I		I						}{	M	0	0	0, 4, 1		0	0
44	44	174	174	2.0	1/2	1/2	4/4	2	1	i64/iii	C	I		i64/iii		i		64		iii			m	0	0	5, 4, 1		4	5
45	45	176	176	1.5	0	0	4/4	2	1	viio7/V/iii	C	I		viio7/V/iii		vii	o	7		V/iii			o7	0	0	10, 7, 4, 1		10	10
45	45	355/2	355/2	0.5	3/8	3/8	4/4	2	1	V65/V/iii	C	I		V65/V/iii		V		65		V/iii			Mm7	0	0	10, 7, 4, 6		6	10
45	45	178	178	1.0	1/2	1/2	4/4	2	1	V(4)/iii	C	I		V(4)/iii		V			4	iii			M	0	0	5, 4, 6		5	5
45	45	179	179	1.0	3/4	3/4	4/4	2	1	V/iii	C	I		V/iii		V				iii			M	0	0	5, 9, 6		5	5
46	46	180	180	1.5	0	0	4/4	2	1	viio7/V/ii	C	I		viio7/V/ii		vii	o	7		V/ii			o7	0	0	8, 5, 2, -1		8	8
46	46	363/2	363/2	0.5	3/8	3/8	4/4	2	1	V65/V/ii	C	I		V65/V/ii		V		65		V/ii			Mm7	0	0	8, 5, 2, 4		4	8
46	46	182	182	1.0	1/2	1/2	4/4	2	1	V(4)/ii	C	I		V(4)/ii		V			4	ii			M	0	0	3, 2, 4		3	3
46	46	183	183	1.0	3/4	3/4	4/4	2	1	V/ii	C	I		V/ii		V				ii			M	0	0	3, 7, 4		3	3
47	47	184	184	1.5	0	0	4/4	2	1	viio7/V	C	I		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
47	47	371/2	371/2	0.5	3/8	3/8	4/4	2	1	V65/V	C	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
47	47	186	186	1.0	1/2	1/2	4/4	2	1	V(4)}	C	I		V(4)		V			4			}	M	0	0	1, 0, 2		1	1
